Word,Count
love,135
hey,86
got,84
fed,76
back,61
like,60
make,57
take,52
cause,46
go,46
time,45
want,43
day,42
pump,40
girl,39
never,37
dream,35
life,34
baby,33
need,33
tonight,33
ooh,33
say,32
night,30
fun,30
wake,29
one,29
eye,28
away,27
thing,27
made,27
see,26
way,26
give,26
said,26
sing,26
let,25
gon,25
hoo,25
feel,24
think,24
thunder,24
better,22
could,22
rain,22
put,21
even,21
around,21
end,20
try,20
