Word,Count
like,181
feel,142
know,112
baby,106
yeah,103
take,99
love,88
go,77
coming,75
got,74
get,68
babe,65
say,64
day,61
give,61
could,60
tell,60
keep,59
na,57
ooh,57
want,56
make,53
let,53
alright,50
ah,49
time,47
girl,47
pressure,44
right,43
come,43
back,42
away,40
one,40
hour,39
night,38
gon,37
heart,36
somebody,36
never,35
boy,35
reason,35
always,33
though,33
said,32
see,31
think,29
funkytown,28
eye,27
even,27
hey,27
