Word,Count
love,80
run,73
let,72
need,66
go,60
feel,52
hold,52
got,51
lost,50
like,48
time,48
know,47
keep,45
take,44
never,43
dancing,41
lose,39
see,36
girl,35
tonight,34
one,34
kiss,34
night,33
babe,32
stop,31
fire,30
heart,30
want,27
thinking,27
yeah,26
man,26
baby,25
come,25
u,24
ooh,24
could,24
ohwoah,24
moving,24
drive,24
get,22
world,22
golden,22
osonakoluna,22
shake,22
find,19
mind,19
alone,18
make,18
measure,18
mama,18
