Word,Count
low,200
yeah,194
love,179
know,176
like,166
got,102
never,95
baby,93
need,89
want,83
let,77
thing,76
every,70
feel,67
say,65
woman,65
said,64
way,63
make,62
night,58
could,53
time,52
heart,51
gon,51
get,51
day,50
come,49
see,45
ooh,43
really,42
take,41
alone,39
weekend,39
right,38
nothing,38
go,37
dance,36
give,35
head,35
lie,33
safe,33
lololow,33
call,32
title,32
life,31
think,29
well,29
tear,29
ai,28
sound,28
