Word,Count
time,96
like,96
yeah,96
love,80
one,79
never,74
come,69
back,59
cause,55
way,54
know,52
always,51
good,47
still,47
night,44
let,43
feel,42
want,42
take,39
til,39
hope,39
right,38
baby,38
little,34
trouble,34
hey,32
town,32
life,31
tryna,31
girl,30
make,29
need,28
whiskey,28
man,27
dream,27
thats,24
knew,24
could,24
well,24
leave,24
woman,24
home,23
around,21
keep,21
two,21
last,21
long,21
rain,21
every,20
old,20
