Word,Count
love,136
hey,86
fed,76
got,75
want,67
back,63
like,58
make,56
take,52
time,47
cause,45
go,45
baby,43
pump,40
day,39
never,37
girl,37
need,35
life,35
dream,34
tonight,33
say,33
ooh,33
fun,30
wake,29
night,29
eye,28
away,27
see,27
thing,27
think,27
made,27
one,27
give,26
said,26
sing,26
let,25
gon,25
better,25
way,25
hoo,25
feel,24
thunder,24
put,22
could,22
much,22
rain,22
end,20
try,20
around,20
